0,932
966,1151
1232,1883
2137,2641
3347,3856
9857,10023
27101,27261
43101,44592
49744,51764
52079,52459
52653,52775
53124,54813
56664,57446
57483,57618
58259,59737
60327,60887
94909,95375
96415,97497
