407,722
940,1175
1528,1696
5947,6447
11525,11684
12068,12223
12879,13049
17782,17893
18607,18826
19054,19345
19867,19956
23032,23331
23610,23802
23872,24020
24599,24915
25399,25479
33340,34013
35656,35804
41566,41674
41875,41988
42627,42731
43418,43691
43926,44124
49861,49963
50390,50482
51001,51142
56295,56427
57200,57294
62369,62518
62609,62699
63434,63525
65406,65611
65884,66007
69739,69831
69948,70183
70279,70427
70960,71084
71544,71809
72101,72298
72769,72909
