1143,1239
1292,1399
3545,3926
4174,4358
5453,5722
7305,7454
8736,8809
9883,10137
11062,11378
12146,12478
12798,13028
13610,13686
15739,16019
18457,18764
22482,22727
23775,24000
24148,24453
24631,24890
25179,25397
25811,26015
27640,28033
29492,29733
31064,31321
31782,31863
39899,39980
43614,43882
46632,46762
46976,47584
47891,48071
49571,49725
51528,51816
53853,54145
57531,57951
58521,58728
59543,59791
60152,60456
61212,61394
61539,61856
63615,63901
64952,65201
65688,65879
67155,67413
68095,68313
69331,69444
69914,70279
71786,72087
